Start_Lat,Start_Lng,Start_Time,Severity,lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
38.652668,-121.070602,2016-04-03 18:30:31,3,38.652668,-121.070602,Clouds,overcast clouds,56.17,80,10000,4.0,0
37.695385,-122.073692,2016-04-01 00:00:16,2,37.695385,-122.073692,Clear,clear sky,60.28,69,10000,8.05,0
37.50917800000001,-122.341911,2016-09-04 16:49:10,3,37.50917800000001,-122.341911,Clear,clear sky,57.74,75,10000,9.22,0
37.79324,-122.469521,2017-01-19 14:42:20,2,37.79324,-122.469521,Clouds,scattered clouds,59.11,76,10000,7.0,0
37.752502,-122.403008,2016-11-08 16:21:58,2,37.752502,-122.403008,Clouds,scattered clouds,59.23,75,10000,8.05,0
38.15519000000001,-121.676437,2016-05-30 16:24:48,2,38.15519000000001,-121.676437,Clouds,scattered clouds,59.49,75,10000,9.04,0
37.842594,-122.2976,2016-09-03 15:35:50,3,37.842594,-122.2976,Clouds,scattered clouds,60.3,73,10000,8.05,0
38.008995,-122.029991,2016-09-07 19:30:52,2,38.008995,-122.029991,Clear,clear sky,59.05,73,10000,5.01,0
37.740681,-121.504189,2016-06-04 14:24:19,3,37.740681,-121.504189,Clear,clear sky,57.81,81,10000,4.61,0
38.608906,-121.270538,2016-10-17 07:41:05,2,38.608906,-121.270538,Clear,clear sky,58.59,76,10000,10.36,0
38.320869,-121.444565,2017-01-13 08:00:54,2,38.320869,-121.444565,Clouds,few clouds,58.28,80,10000,9.57,0
37.71928,-122.176796,2016-11-01 03:11:43,3,37.71928,-122.176796,Clouds,scattered clouds,60.06,72,10000,8.05,0
37.837833,-122.264168,2017-01-07 05:16:28,2,37.837833,-122.264168,Clouds,scattered clouds,59.88,73,10000,8.05,0
38.241276,-122.269112,2016-05-02 09:50:19,2,38.241276,-122.269112,Clear,clear sky,59.85,75,10000,6.91,0
38.761417,-120.575806,2016-10-03 07:05:12,2,38.761417,-120.575806,Clear,clear sky,47.64,76,10000,1.99,0
36.974895,-121.897293,2016-07-23 15:36:01,2,36.974895,-121.897293,Clouds,overcast clouds,61.9,72,10000,1.99,0
37.333534,-121.937454,2016-10-17 19:43:35,3,37.333534,-121.937454,Clouds,scattered clouds,60.4,69,10000,9.22,0
37.966309,-122.322304,2016-08-01 11:28:00,3,37.966309,-122.322304,Clouds,scattered clouds,60.22,71,10000,1.41,0
37.891716,-121.487747,2017-01-20 22:35:49,2,37.891716,-121.487747,Clear,clear sky,58.05,83,10000,4.61,0
38.429401,-122.71476,2016-08-24 09:08:50,2,38.429401,-122.71476,Clear,clear sky,60.51,71,10000,4.61,0
